Name,Series,Phase,Year
Iron Man (film),Iron Man,1,2008
The Incredible Hulk (film),Hulk,1,2008
Iron Man 2,Iron Man,1,2010
Thor (film),Thor,1,2011
Captain America: The First Avenger,Captain America,1,2011
The Avengers (film),Avengers,1,2012
Iron Man 3,Iron Man,2,2013
Thor: The Dark World,Thor,2,2013
Captain America: The Winter Soldier,Captain America,2,2014
Guardians of the Galaxy (film),Guardians of the Galaxy,2,2014
Avengers: Age of Ultron,Avengers,2,2015
Ant-Man (film),Ant-Man,2,2015
Captain America: Civil War,Captain America,3,2016
Doctor Strange (film),Doctor Strange,3,2016
Guardians of the Galaxy Vol. 2,Guardians of the Galaxy,3,2017
Spider-Man: Homecoming,Spider-Man,3,2017
Thor: Ragnarok,Thor,3,2017
Black Panther (film),Black Panther,3,2018
Avengers: Infinity War,Avengers,3,2018
